name,gmap_id,descrption,category,facilities,text,amenidades
The Bowery Hotel,0x89df0171545c9d63:0xb32174675a59f436,,['Hotel'],,,
Resort Lodging Company by Vacasa,0x874269315488077f:0x387ce69fbfa45c06,,"['Vacation home rental agency' 'Condominium rental agency'
 'Property management company' 'Resort hotel']",['Wheelchair accessible entrance'],,resort
The Trading Post,0x86fbc136dc0065c5:0x7031042c288aadce,,['Hotel'],,,
A Walden's Pond,0x56c6669b63e32e1b:0x89b4b8199a0adbea,,['Hotel'],,,
Budgetel Inn,0x88626b3eef6314db:0x1c0b19d1d69d1d24,,['Hotel'],,"I lifted the blanket on the first bed and found out my room was already taken by roaches. The toilet seat was broken, as well as the fire alarm and the TV barely worked I can get better down the road for cheaper.",
Mountain Laurel Inn,0x89cd8024bc929215:0xe41ae0928ad0d747,,['Bed & breakfast' 'Hotel'],,,
Gatlinburg Village 505 3 Bedroom Home,0x885955d9c0464015:0xb1df9fa73da57766,,['Hotel'],,,
Budget Host Inn,0x87d2a5343ef4e94b:0x78d4dee0ab39a3d4,,['Inn' 'Hotel' 'Motel'],,,
Studio in Times Square,0x89c2585240000001:0xb38aa8ec0cc82533,,['Hotel'],,,
Endion Station Inn,0x52ae5363b5735a95:0xd07e74297f78a27a,"Quirky boutique hotel in a converted train station featuring a sauna, a deck & a fire pit.",['Hotel'],,,
Stanford Sierra Conference Center,0x809988d6e406d255:0x3989758f83f17f2a,,['Conference center' 'Business center' 'Resort hotel' 'Retreat center'],['Wheelchair accessible entrance'],Super courteous and friendly staff beautifully located in South Fallen Leaf Lake great accommodations and has large variety of activities,resort
Grande Retreat,0x4d4a095571ed5999:0x3b199bde10009cd,,['Resort hotel'],,,resort
Fenwick Island Beach,0x89b8d3dd1c1909f5:0x168fef3ef0effc13,,['Resort hotel'],,,resort
Reed Motel,0x886468b1879803f3:0xe621a2c636846428,,['Motel' 'Hotel'],,"I'm from out of town working in Nashville the last 4 month's and I've stayed in 6 or 7 different places over that time but no place has been more kind or helpful than the Reed motel. The staff all know me by name the rooms are clean and the service is over the top. I like it so much I've stayed here almost 2 months straight and no matter where I'm sent to work I know the expressway ( I-24, I-40 or 440) is the first right turn when I leave the parking lot. If you are in town for a nite or more stop in and see why I like it so much. Tell Allen that Steve sent you.","parking lot, parking"
Quality Inn,0x89ab13056033988b:0xfa145215217c9e70,,['Hotel'],,,
Super 8 East Hazel Crest,0x880e18a01af7ad33:0x8fa671ef2b910afe,Simple budget hotel offering en suite bathrooms plus free continental breakfast & WiFi.,['Motel' 'Hotel' 'Inn' 'Lodge'],,,wifi
Knights Inn Pulaski,0x89d83535ea1c89e9:0x60969af715844b03,"Budget hotel offering basic rooms & suites with kitchenettes, plus an outdoor pool & free Wi-Fi.",['Motel' 'Hotel' 'Inn' 'Lodge'],,,pool
Harlem 144 Guest House,0x89c2f612248002bd:0x110c9492e7d1b9b7,,['Hotel'],,,
Splash Resort by Blue Swell Vacation Rentals,0x88938cdf93baaaab:0xa49ceca3a32c8fa7,,"['Resort hotel' 'Condominium complex' 'Condominium rental agency'
 'Property maintenance' 'Property management company'
 'Vacation home rental agency']",,,resort
Times Square Towers,0x89c258ffcaad98a9:0x2c9c3733efc6ef43,,['Hotel'],,,
Courtyard 280,0x8889164cafbfc851:0x3fd6a9aedef4ec7e,,['Hotel'],,,
Ski Hill 36 by Pinnacle Lodging,0x876af72c9048cd0b:0x102ccc701ed7e416,,['Hotel' 'Lodge' 'Vacation home rental agency'],,,
Decorah House,0x87fbad93e4500001:0x1c7f1501680ed022,,['Hotel' 'Inn'],,,
Backwater Cabins At Thomas Mill Creek,0x888d5b1e54f0a1b9:0x9934dfffc9f2c40a,,['Hotel' 'Cabin rental agency' 'Camping cabin' 'Indoor lodging'],,,
Kenai Riverfront Resort,0x56c66395ad1e781f:0x65d0ac7da95668b9,"Relaxed riverside lodging with cabins, a suite & a 3-bedroom house, plus BBQ grills & fishing.","['RV park' 'Bed & breakfast' 'Campground' 'Fishing camp' 'Fishing charter'
 'Fishing pier' 'Indoor lodging' 'Resort hotel' 'Serviced accommodation']",,,resort
Hidden Treasures Cabin,0x885c0137e149f407:0x48352ef5e1271588,,['Hotel'],,,
Sundown Motel,0x884706b05dedaeaf:0xe91fb41c16b8325,,['Motel' 'Hotel'],,,
Golden City Lodge No 1,0x876b9acd2e552647:0x67a2e0440428d325,,['Hotel'],,,
Tranquil Waters Cabin,0x8844778136fd29f9:0xead2142f376ccaa6,,['Hotel'],,,
VacayHome Connect,0x880fc5f4b9078253:0x7eca698595b5f873,,"['Vacation home rental agency' 'Distribution service' 'Resort hotel'
 'Travel agency']",,,resort
Kori's Mountain View Cabin / Aardvark Cabin Rentals,0x885ea971d2cc9b35:0x9d59ba69eda7f6c9,,['Hotel'],,,
Regal Inn,0x88813508114ee46d:0xef3731a02d9266e7,"Quaint, cozy hotel rooms in a modest 2-story building with an adjacent tavern & pizzeria.",['Hotel'],,,
Bearcove Resort,0x52b711dd0516d9a3:0xcb595ad3985bb176,,['Resort hotel'],,,resort
Grand Pacific Hotel,0x808580f3c0b5954d:0x4b9089fbe1018743,,['Hotel'],,,
Now Voyager Cruises and Tours,0x880f7b6fe9298d85:0x709663a391855086,,['Travel agency' 'Airline' 'Cruise agency' 'Hotel'],,,
Gavins Celebration For Krewe Déjà Vu Du Monde Civic Center,0x863b843100db9f63:0xfed372bc4a0a1182,,['Hotel'],,,
Taos Mountain Inn,0x871770268556ac25:0xd7b65612278b7419,,['Hotel' 'Extended stay hotel' 'Wellness hotel'],,,
A Plus Accommodations,0x88569e3c79905843:0x8ecd15ae7fb08ef2,,['Hotel'],,,
Baymont Inn & Suites Tacoma,0x5490f8b34e83916b:0x7434e8b0ff22fe68,,['Hotel' 'Motel'],,,
Wade Lake Resort,0x535055be3458dcb9:0xd939cebb7b15b864,"Property featuring simple cabins & a range of mountain activities, including groomed ski trails.",['Resort hotel' 'Cabin rental agency' 'Hiking area'],,,resort
Atlanta Banquet Hall,0x88f59771d03019fd:0x299abf5c4689e56b,,['Hotel'],,"Pros:
Spacious : This banquet can fit upto 200 people and won't seem crowded.
Management: The manager at the event is so charming and friendly,she makes you feel home.
Arrangements and decoration : Top class decoration, utensils and cutlery used to step up the party to next level.
You get almost all service including cleaning very friendly helping staffs and inhouse bar as requested.",spa
Lake Tobesofkee Duck Ponds,0x88f3f6a1eeb33ca1:0xacac428181f5a6db,,['Hotel'],,,
IHG Army Hotels in Richardson Complex.,0x88652bee6dd4017d:0x81fd3ffd215903c8,,['Hotel' 'Army facility'],,,
S Cal Corporate Housing,0x80c2b362ee533fa7:0xc66ec267bc79011e,,['Hotel'],,,
Clarion,0x89de0dfc808682b9:0x81849b3c4855cf29,,['Hotel' 'Conference center'],,,
